Siècle;Identifiant;Type voie;Préposition voie;Nom voie;Dénomination complète;Dénomination complète minuscule;Arrondissement;Date de l'arrêté;Date de caducité;Code voie VdP;Quartier;Code voie DGFIP;Longueur voie;Largeur voie;Feuille parcellaire;Début voie;Fin voie;Numéro pair;Numéro impair;Alignement;Servitude;Historique;Dénomination;Classement;Observation;Numérotage;Origine du nom;Déclassement;Nivellement;Assainissement;Ouverture
;15274;rue;des;Vosges;RUE DES VOSGES;rue des Vosges;18e;;1873-11-10;;Clignancourt;;;;;;;;;;;Dénommée partie de la rue des Amiraux par arrêté préfectoral du 10 novembre 1873.;;;;;;;;;
;5720;rue ou place;au;Foin;RUE OU PLACE AU FOIN;rue ou place au Foin;;;;;;;;;;;;;;;;Voir : Trois Maries (place des).;;;;;;;;;
;2625;rue;de la;Poissonnerie;RUE DE LA POISSONNERIE;rue de la Poissonnerie;;;;;;;;;;;;;;;;Actuellement rue Poissonnière.;;;;;;;;;
