landmarkId,landmarkType,nomOff,lang,timeType,timeStamp,timePrec,timeCal,statement
http://www.wikidata.org/entity/Q3149194,thoroughfare,voie BC/20,fr,end,1961-03-31T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3149194-39C45049-5821-470E-800F-B3C77CFF764B
http://www.wikidata.org/entity/Q3389828,thoroughfare,place de Puebla,fr,end,1893-12-25T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3389828-686ec5ce-4a26-18b3-e4d5-a8eb6288078d
http://www.wikidata.org/entity/Q3149329,thoroughfare,impasse d'Argenson,fr,end,1877-01-31T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3149329-73350046-4b47-7622-f661-0adb0b078432
http://www.wikidata.org/entity/Q3389685,thoroughfare,voie AX/13,fr,end,1984-01-10T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3389685-925E7BA3-7B55-49B8-A750-A897B62872B1
http://www.wikidata.org/entity/Q3389895,thoroughfare,voie BO/19,fr,end,1984-11-25T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3389895-7A99C6A0-C16A-470C-837D-4269FF3B65A7
http://www.wikidata.org/entity/Q3389828,thoroughfare,place des Pyrénées,fr,start,1870-01-01T00:00:00Z,9,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3389828-ae263a2f-4a6f-89f5-5c84-8ad558f16800
http://www.wikidata.org/entity/Q3389854,thoroughfare,place Henri Langlois,fr,start,1995-07-18T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3389854-51B40A4A-C2C3-474C-BE65-EB21B31C8889
http://www.wikidata.org/entity/Q3149198,thoroughfare,impasse Beaubourg,fr,start,1867-02-26T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3149198-4FCB9934-7B5C-40E9-B59B-952B97AD5FE9
http://www.wikidata.org/entity/Q3368059,thoroughfare,passage de l'Atlas,fr,start,1877-02-01T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3368059-E9E01834-46B4-44D9-B917-A8ACC698C054
http://www.wikidata.org/entity/Q3368301,thoroughfare,passerelle Arletty,fr,start,2022-07-08T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3368301-6b75ec71-410c-0169-a0f1-1f7b97b7fb9a
http://www.wikidata.org/entity/Q3389873,thoroughfare,place Jacques Froment,fr,start,1946-06-08T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3389873-EB283E4E-6015-488C-9DEA-7B6D8DDB1A1C
http://www.wikidata.org/entity/Q3149212,thoroughfare,impasse Chartière,fr,start,1885-10-21T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3149212-7761E5EA-F356-4720-A684-76175A8FE8DB
http://www.wikidata.org/entity/Q3367849,thoroughfare,passage Brantôme,fr,start,1983-01-07T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3367849-A553369A-B6F8-4ED7-B555-EB116F195FE8
http://www.wikidata.org/entity/Q3389679,thoroughfare,place Adrien Oudin,fr,start,1935-01-21T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3389679-8BCEFD28-B66F-4073-8252-1D523DAF65AA
http://www.wikidata.org/entity/Q3389859,thoroughfare,place Henri Queuille,fr,start,1979-07-27T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3389859-13DB3040-A231-4803-8625-4E4C4910C092
