houseNumberGeomWKT,houseNumberId,houseNumberLabel
POINT (2.337284 48.865369),https://www.openstreetmap.org/node/10009399005,"44"
POINT (2.33727 48.865343),https://www.openstreetmap.org/node/10009399006,"43"
POINT (2.337257 48.865316),https://www.openstreetmap.org/node/10009399007,"42"
POINT (2.337244 48.86529),https://www.openstreetmap.org/node/10009399008,"41"
POINT (2.337231 48.865264),https://www.openstreetmap.org/node/10009399009,"40"
POINT (2.337218 48.865238),https://www.openstreetmap.org/node/10009399010,"39"
POINT (2.337204 48.865212),https://www.openstreetmap.org/node/10009399011,"38"
POINT (2.337191 48.865186),https://www.openstreetmap.org/node/10009399012,"37"
POINT (2.337178 48.86516),https://www.openstreetmap.org/node/10009399013,"36"
POINT (2.338966 48.865808),https://www.openstreetmap.org/node/10010711748,"108"
POINT (2.337936 48.863912),https://www.openstreetmap.org/node/10010711749,"179"
POINT (2.33795 48.863938),https://www.openstreetmap.org/node/10010711750,"178"
POINT (2.337965 48.863965),https://www.openstreetmap.org/node/10010711751,"177"
POINT (2.338952 48.865782),https://www.openstreetmap.org/node/10010711753,"109"
POINT (2.338937 48.865755),https://www.openstreetmap.org/node/10010711754,"110"
POINT (2.338923 48.865728),https://www.openstreetmap.org/node/10010711755,"111"
POINT (2.338908 48.865702),https://www.openstreetmap.org/node/10010711756,"112"
POINT (2.338894 48.865675),https://www.openstreetmap.org/node/10010711757,"113"
POINT (2.338879 48.865648),https://www.openstreetmap.org/node/10010711758,"114"
POINT (2.338865 48.865622),https://www.openstreetmap.org/node/10010711759,"115"
POINT (2.33885 48.865595),https://www.openstreetmap.org/node/10010711760,"116"
POINT (2.338835 48.865568),https://www.openstreetmap.org/node/10010711761,"117"
POINT (2.338821 48.865541),https://www.openstreetmap.org/node/10010711762,"118"
POINT (2.338807 48.865515),https://www.openstreetmap.org/node/10010711763,"119"
POINT (2.338792 48.865488),https://www.openstreetmap.org/node/10010711764,"120"
POINT (2.338777 48.865461),https://www.openstreetmap.org/node/10010711765,"121"
POINT (2.338763 48.865434),https://www.openstreetmap.org/node/10010711766,"122"
POINT (2.338749 48.865408),https://www.openstreetmap.org/node/10010711767,"123"
POINT (2.338734 48.865381),https://www.openstreetmap.org/node/10010711768,"124"
POINT (2.338719 48.865354),https://www.openstreetmap.org/node/10010711769,"125"
POINT (2.338705 48.865328),https://www.openstreetmap.org/node/10010711770,"126"
POINT (2.338691 48.865301),https://www.openstreetmap.org/node/10010711771,"127"
POINT (2.338676 48.865274),https://www.openstreetmap.org/node/10010711772,"128"
POINT (2.338661 48.865248),https://www.openstreetmap.org/node/10010711773,"129"
POINT (2.338647 48.865221),https://www.openstreetmap.org/node/10010711774,"130"
POINT (2.338632 48.865194),https://www.openstreetmap.org/node/10010711775,"131"
POINT (2.338618 48.865167),https://www.openstreetmap.org/node/10010711776,"132"
POINT (2.338603 48.865141),https://www.openstreetmap.org/node/10010711777,"133"
POINT (2.338589 48.865114),https://www.openstreetmap.org/node/10010711778,"134"
POINT (2.338574 48.865087),https://www.openstreetmap.org/node/10010711779,"135"
POINT (2.33856 48.86506),https://www.openstreetmap.org/node/10010711780,"136"
POINT (2.338545 48.865034),https://www.openstreetmap.org/node/10010711781,"137"
POINT (2.338531 48.865007),https://www.openstreetmap.org/node/10010711782,"138"
POINT (2.338516 48.86498),https://www.openstreetmap.org/node/10010711783,"139"
POINT (2.338502 48.864954),https://www.openstreetmap.org/node/10010711784,"140"
POINT (2.338487 48.864927),https://www.openstreetmap.org/node/10010711785,"141"
POINT (2.338473 48.8649),https://www.openstreetmap.org/node/10010711786,"142"
POINT (2.338458 48.864874),https://www.openstreetmap.org/node/10010711787,"143"
POINT (2.338444 48.864847),https://www.openstreetmap.org/node/10010711788,"144"
POINT (2.338429 48.86482),https://www.openstreetmap.org/node/10010711789,"145"
POINT (2.338415 48.864793),https://www.openstreetmap.org/node/10010711790,"146"
POINT (2.3384 48.864767),https://www.openstreetmap.org/node/10010711791,"147"
POINT (2.338386 48.86474),https://www.openstreetmap.org/node/10010711792,"148"
POINT (2.338371 48.864713),https://www.openstreetmap.org/node/10010711793,"149"
POINT (2.338357 48.864686),https://www.openstreetmap.org/node/10010711794,"150"
POINT (2.338342 48.86466),https://www.openstreetmap.org/node/10010711795,"151"
POINT (2.338328 48.864633),https://www.openstreetmap.org/node/10010711796,"152"
POINT (2.338313 48.864606),https://www.openstreetmap.org/node/10010711797,"153"
POINT (2.338299 48.86458),https://www.openstreetmap.org/node/10010711798,"154"
POINT (2.338284 48.864553),https://www.openstreetmap.org/node/10010711799,"155"
POINT (2.33827 48.864526),https://www.openstreetmap.org/node/10010711800,"156"
POINT (2.338255 48.8645),https://www.openstreetmap.org/node/10010711801,"157"
POINT (2.338241 48.864473),https://www.openstreetmap.org/node/10010711802,"158"
POINT (2.338226 48.864446),https://www.openstreetmap.org/node/10010711803,"159"
POINT (2.338212 48.864419),https://www.openstreetmap.org/node/10010711804,"160"
POINT (2.338197 48.864393),https://www.openstreetmap.org/node/10010711805,"161"
POINT (2.338183 48.864366),https://www.openstreetmap.org/node/10010711806,"162"
POINT (2.338168 48.864339),https://www.openstreetmap.org/node/10010711807,"163"
POINT (2.338154 48.864312),https://www.openstreetmap.org/node/10010711808,"164"
POINT (2.338139 48.864286),https://www.openstreetmap.org/node/10010711809,"165"
POINT (2.338124 48.864259),https://www.openstreetmap.org/node/10010711810,"166"
POINT (2.33811 48.864232),https://www.openstreetmap.org/node/10010711811,"167"
POINT (2.338096 48.864206),https://www.openstreetmap.org/node/10010711812,"168"
POINT (2.338081 48.864179),https://www.openstreetmap.org/node/10010711813,"169"
POINT (2.338066 48.864152),https://www.openstreetmap.org/node/10010711814,"170"
POINT (2.338052 48.864126),https://www.openstreetmap.org/node/10010711815,"171"
POINT (2.338038 48.864099),https://www.openstreetmap.org/node/10010711816,"172"
POINT (2.338023 48.864072),https://www.openstreetmap.org/node/10010720017,"173"
POINT (2.338008 48.864045),https://www.openstreetmap.org/node/10010720018,"174"
POINT (2.337994 48.864019),https://www.openstreetmap.org/node/10010720019,"175"
POINT (2.33798 48.863992),https://www.openstreetmap.org/node/10010720020,"176"
