Siècle;Identifiant;Type voie;Préposition voie;Nom voie;Dénomination complète;Dénomination complète minuscule;Arrondissement;Date de l'arrêté;Date de caducité;Code voie VdP;Quartier;Code voie DGFIP;Longueur voie;Largeur voie;Feuille parcellaire;Début voie;Fin voie;Numéro pair;Numéro impair;Alignement;Servitude;Historique;Dénomination;Classement;Observation;Numérotage;Origine du nom;Déclassement;Nivellement;Assainissement;Ouverture
;1921;rue;;Royale;RUE ROYALE;rue Royale;;;;;;;;;;;;;;;;Actuellement rue de Richelieu.;;;;;;;;;
;1922;rue;;Royale;RUE ROYALE;rue Royale;;;;;;;;;;;;;;;;Devenue rue de la Nation. Actuellement rue de Sofia.;;;Dite aussi grande rue Royale;;;;;;
;1925;rue;;Royale;RUE ROYALE;rue Royale;;;;;;;;;;;;;;;;Précédemment rue Neuve de Richelieu. Actuellement rue des Moulins.;;;;;;;;;
;1938;route;;Nationale N° 5;ROUTE NATIONALE N? 5;route Nationale N° 5;;;;;;;;;;;;;;;;Actuellement partie de la rue de Charenton et partie de l'av. de la Porte de Charenton.;;;;;;;;;
;1976;route;;Départementale N° 29;ROUTE DEPARTEMENTALE N? 29;route Départementale N° 29;;;;;;;;;;;;;;;;Actuellement rue Gros et partie des rues La Fontaine et d'Auteuil.;;;;;;;;;
;5128;rue;;Guignoreille;RUE GUIGNOREILLE;rue Guignoreille;;;;;;;;;;;;;;;;Actuellement rue de la Coutellerie.;;;;;;;;;
;5144;rue;des;Guézaux;RUE DES GUEZAUX;rue des Guézaux;;;;;;;;;;;;;;;;Supprimé. Commençait rue de Longchamp et finissait rue Vineuse.;;;;;;;;;
;6466;place;de la;Croix du Tiroir;PLACE DE LA CROIX DU TIROIR;place de la Croix du Tiroir;;;;;;;;;;;;;;;;Supprimé. Elle était située à la rencontre des rues de l'Arbre Sec et Saint-Honoré.;;;;;;;;;
;6486;chemin;de la;Croix;CHEMIN DE LA CROIX;chemin de la Croix;;;;;;;;;;;;;;;;Supprimé. Etait situé boul. de Douaumont.;;;;;;;;;
;6505;rue;de la;Couture Sainte-Catherine;RUE DE LA COUTURE SAINTE-CATHERINE;rue de la Couture Sainte-Catherine;03e, 04e;;;;Archives, Saint-Gervais;;;;;;;;;;;Devenue rue de Sévigné. Actuellement rue Elzévir et rue Madame de Sévigné.;;;;;;;;;
;7177;rue;;Charauri;RUE CHARAURI;rue Charauri;;;;;;;;;;;;;;;;Voir : Perpignan (rue de).;;;;;;;;;
;5188;cité;;Greuse;CITE GREUSE;cité Greuse;;;;;;;;;;;;;;;;Supprimé. vers 1889. Elle était située rue Greuze, 20.;;;;;;;;;
;5192;rue;;Grenouillière;RUE GRENOUILLIERE;rue Grenouillière;;;;;;;;;;;;;;;;Ou Grenouiller. Voir : Grenouiller (rue).;;;;;;;;;
;5193;quai;de la;Grenouillière;QUAI DE LA GRENOUILLIERE;quai de la Grenouillière;;;;;;;;;;;;;;;;Actuellement quais d'Orsay et Anatole France.;;;;;;;;;
