Siècle;Identifiant;Type voie;Préposition voie;Nom voie;Dénomination complète;Dénomination complète minuscule;Arrondissement;Date de l'arrêté;Date de caducité;Code voie VdP;Quartier;Code voie DGFIP;Longueur voie;Largeur voie;Feuille parcellaire;Début voie;Fin voie;Numéro pair;Numéro impair;Alignement;Servitude;Historique;Dénomination;Classement;Observation;Numérotage;Origine du nom;Déclassement;Nivellement;Assainissement;Ouverture
19;8367;rue;;Aubé;RUE AUBE;rue Aubé;04e;1875-02-10;1934-01-27;;Notre-Dame;;70;30;;quai de la Cité.;rue de Lutèce, 2.;;;Décret du 22 mai 1865.;;Dénommée partie de la place Louis Lépine par arrêté préfectoral du 27 janvier 1934.;Décret présidentiel du 10 février 1875. Précédemment rue de Rouen.;;Intégrée à la place Louis Lépine, une partie de l'emprise de la rue Aubé d'une largeur de 8,90 m a été déclassée par arrêté préfectoral du 22 mai 1962.;;Longe le tribunal de Commerce et a pris le nom d'Aubé, ancien président du tribunal de Commerce.;;;;
;7801;voie;;BL/12;VOIE BL/12;voie BL/12;12e;;1993-02-11;;Bercy;;;;;;;;;;;Dénommée rue George Gershwin par arrêté municipal du 11 février 1993.;;;;;;;;;
;7819;rue;de la;Blanche Oie;RUE DE LA BLANCHE OIE;rue de la Blanche Oie;;;;;;;;;;;;;;;;Actuellement partie de la rue du Four.;;;;;;;;;
;7823;barrière;;Blanche;BARRIERE BLANCHE;barrière Blanche;;;;;;;;;;;;;;;;Supprimé. Elle était située boul. de Clichy sur l'emplacement de la place Blanche. Elle a aussi porté le nom de barrière de la Croix Blanche.;;;;;;;;;
;8391;passage;des;Arts;PASSAGE DES ARTS;passage des Arts;;;;;;;;;;;;;;;;Supprimé en 1942. Commençait av. Frédéric Passy (Supprimé.), finissait pas. Thierry (Supprimé.).;;;;;;;;;
;8415;rue;des;Armuriers;RUE DES ARMURIERS;rue des Armuriers;;;;;;;;;;;;;;;;Voir : Heaumerie (rue de la).;;;;;;;;;
;7842;place;de;Birague;PLACE DE BIRAGUE;place de Birague;04e;;;;Saint-Gervais;;;;;;;;;;;On appelait ainsi l'élargissement de la rue Saint-Antoine, en face de l'église Saint-Paul-Saint-Louis. Elle avait précédemment porté le nom de Sainte-Catherine. Pendant la Révolution, c'était la place Catherine.;;;;;;;;;
;8473;rue;;Appert;RUE APPERT;rue Appert;;;;;;;;;;;;;;;;Actuellement rue du Général Appert.;;;;;;;;;
;7873;voie;;BG/12;VOIE BG/12;voie BG/12;12e;;1991-06-11;;Picpus;;;;;;;;;;;Dénommée allée Vivaldi par arrêté municipal du 11 juin 1991.;;;;;;;;;
;8501;rue;;Anquetil;RUE ANQUETIL;rue Anquetil;;;;;;;;;;;;;;;;Actuellement partie de la rue du Roi de Sicile.;;;;;;;;;
;8509;rue;d';Anjou;RUE D'ANJOU;rue d'Anjou;;;;;;;;;;;;;;;;Supprimée lors de la construction de l'Hôtel de Soissons. Etait sur l'emplacement de la Bourse du Commerce.;;;;;;;;;
;7926;rue;de;Bercy;RUE DE BERCY;rue de Bercy;04e;;;;Saint-Gervais;;;;;;;;;;;Actuellement partie de la rue du Roi de Sicile.;;;;;;;;;
;8535;impasse;;Andrieux;IMPASSE ANDRIEUX;impasse Andrieux;;;;;;;;;;;;;;;;Actuellement villa Championnet.;;;;;;;;;
;8551;rue;de l';An Huit;RUE DE L'AN HUIT;rue de l'An Huit;;;;;;;;;;;;;;;;Actuellement rue Jean-Baptiste Pigalle.;;;;;;;;;
;7285;quai;de;Chaillot;QUAI DE CHAILLOT;quai de Chaillot;;;;;;;;;;;;;;;;Actuellement avenue de New York.;;;;;;;;;
;8012;passage;;Beaufort;PASSAGE BEAUFORT;passage Beaufort;;;;;;;;;;;;;;;;Supprimé. par l'ouverture du boul. de Sébastopol. Il allait de la rue Quincampoix à l'imp. Beaufort. Anciennement ruelle derrière Saint-Leu et Saint-Gilles.;;;;;;;;;
;8013;impasse;;Beaufort;IMPASSE BEAUFORT;impasse Beaufort;;;;;;;;;;;;;;;;Supprimé. par l'ouverture du boul. de Sébastopol. Elle était située pas. Beaufort.;;;;;;;;;
;8624;cité;;Alésia;CITE ALESIA;cité Alésia;;;;;;;;;;;;;;;;Supprimé. Elle allait de la rue d'Alésia, 16, à la rue du Commandeur, 13.;;;;;;;;;
;7373;chemin;de;Cassel;CHEMIN DE CASSEL;chemin de Cassel;;;;;;;;;;;;;;;;Actuellement rue du Vieux Colombier.;;;;;;;;;
;8675;voie;;AF/12;VOIE AF/12;voie AF/12;12e;;1972-04-07;;Picpus;;;;;;;;;;;Dénommée place Maurice de Fontenay par arrêté préfectoral du 7 avril 1972.;;;;;;;;;
;7401;passage;;Caron;PASSAGE CARON;passage Caron;;;;;;;;;;;;;;;;Supprimé. Etait situé boul. de la Commanderie.;;;;;;;;;
;7416;rue;;Carême Prenant;RUE CAREME PRENANT;rue Carême Prenant;;;;;;;;;;;;;;;;Actuellement partie de la rue Bichat.;;;;;;;;;
;8063;cul-de-sac;;Baudoin Prend Gaige;CUL-DE-SAC BAUDOIN PREND GAIGE;cul-de-sac Baudoin Prend Gaige;;;;;;;;;;;;;;;;Ou Beaudoin prend Gaie. Voir : Beaudoin prend Gaie (cul-de-sac).;;;;;;;;;
;8067;cul-de-sac;de la;Baudoierie;CUL-DE-SAC DE LA BAUDOIERIE;cul-de-sac de la Baudoierie;;;;;;;;;;;;;;;;Voir : Baudroirie (imp. de la).;;;;;;;;;
;8087;place;;Baudaire;PLACE BAUDAIRE;place Baudaire;;;;;;;;;;;;;;;;Voir : Baudoyer (place).;;;;;;;;;
;8100;rue;;Batelier;RUE BATELIER;rue Batelier;;;;;;;;;;;;;;;;Actuellement rue de la Grange Batelière.;;;;;;;;;
;8681;voie;;AE/12;VOIE AE/12;voie AE/12;12e;;;;Picpus;;;;;;;;;;;Dénommée rue du Colonel Rozanoff par arrêté préfectoral du 7 avril 1972.;;;;;;;;;
;5115;rue;;Guille Queulx;RUE GUILLE QUEULX;rue Guille Queulx;;;;;;;;;;;;;;;;Ou Gui le Comte. Actuellement rue Gît-le-Coeur.;;;;;;;;;
;5148;rue;de;Guernelle Saint-Honoré;RUE DE GUERNELLE SAINT-HONORE;rue de Guernelle Saint-Honoré;;;;;;;;;;;;;;;;Actuellement partie de la rue Jean-Jacques Rousseau.;;;;;;;;;
;5776;quai;de la;Ferronnerie;QUAI DE LA FERRONNERIE;quai de la Ferronnerie;;;;;;;;;;;;;;;;Actuellement quai de la Mégisserie.;;;;;;;;;
;5782;cour;;Ferri;COUR FERRI;cour Ferri;;;;;;;;;;;;;;;;Voir : Cocatrix (rue).;;;;;;;;;
;5787;rue;;Ferpeillon;RUE FERPEILLON;rue Ferpeillon;;;;;;;;;;;;;;;;Voir : Frépillon (rue).;;;;;;;;;
;6472;chemin;de la;Croix de l'Évangile;CHEMIN DE LA CROIX DE L'EVANGILE;chemin de la Croix de l'Évangile;;;;;;;;;;;;;;;;Actuellement partie de la rue de l'Ourcq.;;;;;;;;;
;6513;cul-de-sac;;Courtavoye;CUL-DE-SAC COURTAVOYE;cul-de-sac Courtavoye;;;;;;;;;;;;;;;;Voir : Opéra (cul-de-sac de l').;;;;;;;;;
;7156;chemin de ronde;de;Charenton;CHEMIN DE RONDE DE CHARENTON;chemin de ronde de Charenton;12e;;;;Picpus;;;;;;;;;;;Dénommée partie du boulevard de Reuilly par arrêté préfectoral du 30 décembre 1864.;;;;;;;;;
;7158;barrière;de;Charenton;BARRIERE DE CHARENTON;barrière de Charenton;;;;;;;;;;;;;;;;Supprimé. Elle était située boul. de Bercy et de Reuilly à leur intersection avec la rue de Charenton. Elle a aussi porté le nom de barrière de Marengo.;;;;;;;;;
;5170;rue;;Grosnier;RUE GROSNIER;rue Grosnier;;;;;;;;;;;;;;;;Ou Grosnière. Voir : Grognerie (rue de la).;;;;;;;;;
;5185;port;de la;Grève;PORT DE LA GREVE;port de la Grève;;;;;;;;;;;;;;;;Actuellement port de l'Hôtel de Ville.;;;;;;;;;
;5186;pont;de la;Grève;PONT DE LA GREVE;pont de la Grève;;;;;;;;;;;;;;;;Remplacé par le pont d'Arcole.;;;;;;;;;
;5854;via ad;;Fabros;VIA AD FABROS;via ad Fabros;;;;;;;;;;;;;;;;Voir : Fèves (rue aux).;;;;;;;;;
;6523;passage;de la;Couronne d'Or;PASSAGE DE LA COURONNE D'OR;passage de la Couronne d'Or;;;;;;;;;;;;;;;;Supprimé. vers 1830. Il allait de la rue des Bourdonnais à la rue Tirechappe (Supprimé.).;;;;;;;;;
;6559;rue;;Coupe Gorge;RUE COUPE GORGE;rue Coupe Gorge;;;;;;;;;;;;;;;;Supprimé. Elle était située rue Saint-Jacques, auprès de l'enceinte de Philippe-Auguste, et longeait les murs du couvent des Jacobins. Donnée par Louis XII aux Jacobins. On la nommait aussi Coupe Gueule.;;;;;;;;;
;7200;rue;;Chanvoirerie;RUE CHANVOIRERIE;rue Chanvoirerie;;;;;;;;;;;;;;;;Voir : Chanverrerie (rue de la).;;;;;;;;;
;7214;rue;;Chantereine;RUE CHANTEREINE;rue Chantereine;;;;;;;;;;;;;;;;Ou Chanterelle. Actuellement partie de la rue de la Victoire.;;;;;;;;;
;7217;impasse;;Chandon;IMPASSE CHANDON;impasse Chandon;;;;;;;;;;;;;;;;Absorbée par la rue des Cévennes.;;;;;;;;;
;7238;rue;du;Champflori;RUE DU CHAMPFLORI;rue du Champflori;;;;;;;;;;;;;;;;Voir : Perpignan (rue de).;;;;;;;;;
;5212;rue;;Greffier;RUE GREFFIER;rue Greffier;;;;;;;;;;;;;;;;Ou Greffière. Actuellement rue Clément.;;;;;;;;;
;5214;sente;des;Graviers;SENTE DES GRAVIERS;sente des Graviers;;;;;;;;;;;;;;;;Supprimé. Etait située av. du Centenaire (Supprimé.).;;;;;;;;;
;5893;rue;des;Étroites Ruelles;RUE DES ETROITES RUELLES;rue des Étroites Ruelles;;;;;;;;;;;;;;;;Actuellement rue de Campo-Formio.;;;;;;;;;
;5897;rue;de l';Étoile;RUE DE L'ETOILE;rue de l'Étoile;04e;;1868-04-02;;Saint-Gervais;;;;;;;;;;;Dénommée partie de la rue du Fauconnier par arrêté préfectoral du 2 avril 1868.;;;;;;;;;
;6563;impasse;;Coup de Bâton;IMPASSE COUP DE BATON;impasse Coup de Bâton;;;;;;;;;;;;;;;;Voir : Courbaton (imp.).;;;;;;;;;
;6601;rue;des;Corderies;RUE DES CORDERIES;rue des Corderies;;;;;;;;;;;;;;;;Actuellement rue du Nil.;;;;;;;;;
;4581;passage;;La Fayette;PASSAGE LA FAYETTE;passage La Fayette;11e;;;;Folie-Méricourt;;;;;;;;;;;Actuellement rue Gambey.;;;;;;;;;
;4585;rue;;L;RUE L;rue L;;;;;;;;;;;;;;;;Actuellement rue Duhesme.;;;;;;;;;
;5269;passage;;Grados;PASSAGE GRADOS;passage Grados;;;;;;;;;;;;;;;;Actuellement pas. Dubail.;;;;;;;;;
;5930;impasse;de l';Escullerie;IMPASSE DE L'ESCULLERIE;impasse de l'Escullerie;;;;;;;;;;;;;;;;Voir : Saint-Faron (imp.).;;;;;;;;;
;4629;rue;de la;Juivrerie;RUE DE LA JUIVRERIE;rue de la Juivrerie;;;;;;;;;;;;;;;;Ou Juiverie. Voir : Juiverie (rue de la).;;;;;;;;;
;4632;rue;de la;Juiverie;RUE DE LA JUIVERIE;rue de la Juiverie;;;;;;;;;;;;;;;;Voir : Harpe (partie de la rue de la).;;;;;;;;;
;5337;chemin;du;Gibet;CHEMIN DU GIBET;chemin du Gibet;;;;;;;;;;;;;;;;Actuellement partie de la rue Dupleix.;;;;;;;;;
;5982;rue;des;Enlumineurs;RUE DES ENLUMINEURS;rue des Enlumineurs;;;;;;;;;;;;;;;;Actuellement rue Boutebrie.;;;;;;;;;
;6657;rue;des;Consuls;RUE DES CONSULS;rue des Consuls;;;;;;;;;;;;;;;;Actuellement rue des Juges Consuls.;;;;;;;;;
;4662;rue;;Joseph Laurent;RUE JOSEPH LAURENT;rue Joseph Laurent;;;;;;;;;;;;;;;;Voir : Probité (rue de la).;;;;;;;;;
;4697;ruelle;;Jehan Pinmollet;RUELLE JEHAN PINMOLLET;ruelle Jehan Pinmollet;;;;;;;;;;;;;;;;Ou Jehan Pymollet. Voir : Beurrière (rue).;;;;;;;;;
;5363;rue;;Georges Delavenne;RUE GEORGES DELAVENNE;rue Georges Delavenne;;;;;;;;;;;;;;;;Actuellement rue Joseph Granier.;;;;;;;;;
;6711;cour;du;Commerce;COUR DU COMMERCE;cour du Commerce;;;1888-12-31;;;;;;;rue de Charenton, 60.;;;;;;Supprimée vers 1888.;;;;;;;;;
;4727;rue;;Jean Monot;RUE JEAN MONOT;rue Jean Monot;12e;;;;Bercy;;;;;;;;;;;Supprimée. Voie située dans les entrepôts de Bercy.;;;;;Entrepôt de M. Jean Monot.;;;;
;4732;rue;;Jean Le Mire;RUE JEAN LE MIRE;rue Jean Le Mire;;;;;;;;;;;;;;;;Actuellement rue du Jour.;;;;;;;;;
;6734;place;du;Colonel Mazas;PLACE DU COLONEL MAZAS;place du Colonel Mazas;12e;;;;Quinze-Vingts;;;;;;;;;;;Actuellement place Mazas.;;;;;;;;;
;6739;pont;aux;Colombes;PONT AUX COLOMBES;pont aux Colombes;;;;;;;;;;;;;;;;Remplacé par le Pont au Change.;;;;;;;;;
;4764;cul-de-sac;de;Jean de Cambrai;CUL-DE-SAC DE JEAN DE CAMBRAI;cul-de-sac de Jean de Cambrai;;;;;;;;;;;;;;;;Il était situé rue Cuvier et a été supprimé vers la fin du XVIIe siècle. Il avait porté le nom de cul-de-sac du Tondeur.;;;;;;;;;
;5417;rue;;Garlande;RUE GARLANDE;rue Garlande;;;;;;;;;;;;;;;;Actuellement rue Galande.;;;;;;;;;
;6789;rue;du;Clos du Chardonneret;RUE DU CLOS DU CHARDONNERET;rue du Clos du Chardonneret;;;;;;;;;;;;;;;;Actuellement rue du Puits de l'Ermite et partie de la rue Pestalozzi.;;;;;;;;;
;4812;rue;des;Jacobins Réformés;RUE DES JACOBINS REFORMES;rue des Jacobins Réformés;;;;;;;;;;;;;;;;Actuellement rue des Saints-Pères.;;;;;;;;;
;5471;chemin;;Gaillard;CHEMIN GAILLARD;chemin Gaillard;;;;;;;;;;;;;;;;Voir : Alfred Cornu (rue).;;;;;;;;;
;6830;chemin de ronde;de;Clichy;CHEMIN DE RONDE DE CLICHY;chemin de ronde de Clichy;;;;;;;;;;;;;;;;Actuellement partie du boul. des Batignolles et de la place de Clichy.;;;;;;;;;
;6835;chemin;aux;Clercs;CHEMIN AUX CLERCS;chemin aux Clercs;;;;;;;;;;;;;;;;Actuellement partie de la rue Jacob et de la rue de l'Université.;;;;;;;;;
;5492;rue;du;Fumer;RUE DU FUMER;rue du Fumer;;;;;;;;;;;;;;;;Ou Fumier. Voir : Saint-Landry (rue).;;;;;;;;;
;5513;ruelle;;Frileuse;RUELLE FRILEUSE;ruelle Frileuse;04e;;1841-06-14;;Saint-Gervais;;;;;quai de l'Hôtel de Ville;rue de l'Hôtel de Ville;;;;;Supprimée par une Ordonnance royale du 14 juin 1841. Elle conduisait du quai de l'Hôtel de Ville à la rue de l'Hôtel de Ville, entre les rues des Barres et de Brosse. Elle a été désignée par les noms de rue de la Pétaudière et de rue de Château Frileux.;;;;;;;;;
;6157;passage;;Duranti;PASSAGE DURANTI;passage Duranti;;;;;;;;;;;;;;;;Actuellement partie de la rue René Villermé.;;;;;;;;;
19;6856;quai;de la;Cité;QUAI DE LA CITE;quai de la Cité;04e;1873-11-10;;;Notre-Dame;;;;;;;;;;;Actuellement partie du quai de la Corse et quai aux Fleurs.;Arrêté préfectoral du 10 novembre 1873. Précédemment quai Desaix.;;;;;;;;
;6871;chemin;du;Cimetière Saint-Père;CHEMIN DU CIMETIERE SAINT-PERE;chemin du Cimetière Saint-Père;;;;;;;;;;;;;;;;Actuellement partie de la rue Saint-Guillaume.;;;;;;;;;
;6875;rue;du;Cimetière Saint-Gervais;RUE DU CIMETIERE SAINT-GERVAIS;rue du Cimetière Saint-Gervais;;;;;;;;;;;;;;;;Actuellement partie de la rue François Miron.;;;;;;;;;
;4889;voie;;H/11;VOIE H/11;voie H/11;11e;;1990-03-08;;Saint-Ambroise;;;;;;;;;;;Dénommé rue Gaby Sylvia par arrêté municipal du 8 mars 1990.;;;;;;;;;
;6929;rue;du;Chevet Saint-Landry;RUE DU CHEVET SAINT-LANDRY;rue du Chevet Saint-Landry;;;;;;;;;;;;;;;;Supprimée par la rectification de la rue d'Arcole. Elle portait le nom de rue du Chevet Saint-Landry dès le XIIIe siècle. En 1451, on l'appelait rue de la Couronne. Elle commençait rue Basse des Ursins et finissait rue des Marmousets.;;;;;;;;;
;4925;passage;de l';Hôtel Charost;PASSAGE DE L'HOTEL CHAROST;passage de l'Hôtel Charost;;;;;;;;;;;;;;;;Supprimé. Il commençait rue Montmartre et finissait rue des Vieux Augustins (Actuellement rue d'Argout).;;;;;;;;;
;4926;rue;de l';Hôtel;RUE DE L'HOTEL;rue de l'Hôtel;12e;;1934-01-01;;Bercy;;;;;;;;;;;Supprimé. en 1934. Commençait rue du Charolais, finissait av. Daumesnil.;;;;;;;;;
;5560;rue;de la;Franchise;RUE DE LA FRANCHISE;rue de la Franchise;;;;;;;;;;;;;;;;Actuellement rues Edouard Quénu, Broca et Léon-Maurice Nordmann.;;;;;;;;;
;5593;passage;du;Four;PASSAGE DU FOUR;passage du Four;;;;;;;;;;;;;;;;Actuellement partie de la rue Mabillon.;;;;;;;;;
;6234;villa;;Dezegher-Gibaud;VILLA DEZEGHER-GIBAUD;villa Dezegher-Gibaud;;;;;;;;;;;;;;;;Actuellement partie de la rue Jacquier.;;;;;;;;;
;6240;rue;;Devant la Croix Saint-Denis;RUE DEVANT LA CROIX SAINT-DENIS;rue Devant la Croix Saint-Denis;;;;;;;;;;;;;;;;Actuellement partie de la place Louis Lépine et de la rue de la Cité.;;;;;;;;;
;2484;rue;du;Pot au Lait;RUE DU POT AU LAIT;rue du Pot au Lait;;;;;;;;;;;;;;;;Actuellement rue Wurtz.;;;;;;;;;
;2224;port;du;Recueillage;PORT DU RECUEILLAGE;port du Recueillage;;;;;;;;;;;;;;;;Actuellement port des Saints-Pères.;;;;;;;;;
;2225;rue;des;Recommanderesses;RUE DES RECOMMANDERESSES;rue des Recommanderesses;;;;;;;;;;;;;;;;Actuellement rue de la Coutellerie.;;;;;;;;;
;2259;passage;;Raoul;PASSAGE RAOUL;passage Raoul;11e;;1911-12-31;;Roquette;;;;;;;;;;;Devenue rue Bréguet prolongée en 1911, puis partie de la rue Bréguet après son classement en 1933.;;;;;;;;;
;2287;rue;des;Quinze-Vingts;RUE DES QUINZE-VINGTS;rue des Quinze-Vingts;;;;;;;;;;;;;;;;Supprimée par le percement de la rue de Rivoli. Elle commençait rue de Valois (Supprimé.) et finissait rue de Rohan.;;;;;;;;;
;2299;rue;au;Quens de Pontis;RUE AU QUENS DE PONTIS;rue au Quens de Pontis;;;;;;;;;;;;;;;;Voir : Béthisy (rue).;;;;;;;;;
;2637;rue;de la;Pointe Saint-Eustache;RUE DE LA POINTE SAINT-EUSTACHE;rue de la Pointe Saint-Eustache;;;;;;;;;;rue de la Tonnellerie.;rue Traînée;;;;;Supprimée par la construction des Halles Centrales. Commençait rue de la Tonnellerie (Supprimé.), finissait rue Traînée (Supprimé.).;;;;;;;;;
;2792;rue;;Phélipot;RUE PHELIPOT;rue Phélipot;;;;;;;;;;;;;;;;Voir : Phélipeaux (rue).;;;;;;;;;
;2803;rue;aux;Petits Soulers de Bazenne;RUE AUX PETITS SOULERS DE BAZENNE;rue aux Petits Soulers de Bazenne;;;;;;;;;;;;;;;;Actuellement rue Courtalon.;;;;;;;;;
;2661;rue;des;Plâtriers;RUE DES PLATRIERS;rue des Plâtriers;;;;;;;;;;;;;;;;Actuellement rue Domat.;;;;;;;;;
;2712;rue;du;Pistolet;RUE DU PISTOLET;rue du Pistolet;;;;;;;;;;;;;;;;Actuellement partie de la rue Beautreillis.;;;;;;;;;
;2718;place;des;Piques;PLACE DES PIQUES;place des Piques;;;;;;;;;;;;;;;;Actuellement place Vendôme.;;;;;;;;;
;2489;partie de la sente;des;Postes;PARTIE DE LA SENTE DES POSTES;partie de la sente des Postes;;;;;;;;;;;;;;;;Supprimé. Commençait boul. de la Commanderie, finissait sente des Postes à la limite du territoire d'Aubervilliers.;;;;;;;;;
;2492;rue;de la;Poste aux Chevaux;RUE DE LA POSTE AUX CHEVAUX;rue de la Poste aux Chevaux;;;;;;;;;;;;;;;;Actuellement partie de la rue Bonaparte.;;;;;;;;;
;2498;rue;de la;Porte Saint-Marcel;RUE DE LA PORTE SAINT-MARCEL;rue de la Porte Saint-Marcel;;;;;;;;;;;;;;;;Actuellement rue Descartes.;;;;;;;;;
;2502;quai;de la;Porte Saint-Bernard;QUAI DE LA PORTE SAINT-BERNARD;quai de la Porte Saint-Bernard;;;;;;;;;;;;;;;;Actuellement quai Saint-Bernard.;;;;;;;;;
;2544;rue;du;Port Saint-Gervais;RUE DU PORT SAINT-GERVAIS;rue du Port Saint-Gervais;;;;;;;;;;;;;;;;Actuellement rue de Brosse.;;;;;;;;;
;2549;rue ou ruelle;du;Port aux Oeufs;RUE OU RUELLE DU PORT AUX OEUFS;rue ou ruelle du Port aux Oeufs;;;;;;;;;;;;;;;;Supprimé. Elle conduisait de la rue de la Pelleterie au Port aux OEufs. Elle avait porté le nom de ruelle Jean Notteau, de 1259 à 1392. En 1398, on l'appelait rue Garnier Marcel.;;;;;;;;;
;2582;rue;du;Pont de la Triperie;RUE DU PONT DE LA TRIPERIE;rue du Pont de la Triperie;;;;;;;;;;;;;;;;Supprimé. Elle allait autrefois de la rue Jean Nicot jusqu'au dépôt des marbres et débouchait sur le quai. Coupée par la construction de l'entrepôt des Douanes, aujourd'hui démoli, elle a disparu lors de la construction des écuries de l'empereur. La partie entre la rue Malar et le dépôt des marbres a été appelée rue du Vert Buisson.;;;;;;;;;
;2821;;;Petite Voie de Vanves;PETITE VOIE DE VANVES;Petite Voie de Vanves;;;;;;;;;;;;;;;;Voir : Paris (petite rue de).;;;;;;;;;
;2855;rue qui va;du;Petit Pont à la Place Saint-Michel;RUE QUI VA DU PETIT PONT A LA PLACE SAINT-MICHEL;rue qui va du Petit Pont à la Place Saint-Michel;;;;;;;;;;;;;;;;Voir : Calandre (rue de la).;;;;;;;;;
;2863;rue;du;Petit Paradis;RUE DU PETIT PARADIS;rue du Petit Paradis;03e;;;;Archives;;;;;;;;;;;Actuellement rue du Parc Royal.;;;;;;;;;
;2886;rue;du;Petit Four;RUE DU PETIT FOUR;rue du Petit Four;;;;;;;;;;;;;;;;Ou Petit Four Saint-Ylaire. Voir : Victor de Lanneau (rue).;;;;;;;;;
;2896;rue;du;Petit Champ;RUE DU PETIT CHAMP;rue du Petit Champ;;;;;;;;;;;;;;;;Actuellement rue de l'Epée de Bois.;;;;;;;;;
;2905;rue;du;Petit Bouquet;RUE DU PETIT BOUQUET;rue du Petit Bouquet;;;;;;;;;;;;;;;;Actuellement rue Watteau.;;;;;;;;;
;2911;impasse;;Petit;IMPASSE PETIT;impasse Petit;;;;;;;;;;;;;;;;Actuellement Imp. Charles Petit.;;;;;;;;;
;2933;rue;;Perreau D'Estampes;RUE PERREAU D'ESTAMPES;rue Perreau D'Estampes;;;;;;;;;;;;;;;;Ou Perriau d'Estampes ou encore Perrot d'Estampes. Actuellement partie de la rue des Guillemites.;;;;;;;;;
;2955;rue;;Perdue;RUE PERDUE;rue Perdue;;;;;;;;;;;;;;;;Actuellement rue Maître Albert.;;;;;;;;;
;3017;rue;;Pavée;RUE PAVEE;rue Pavée;;;;;;;;;;;;;;;;Ou Pavée d'Andouilles. Voir : Mûrier (rue du).;;;;;;;;;
;3210;rue;d';Orléans;RUE D'ORLEANS;rue d'Orléans;12e;;1877-08-06;;Bercy;;;;;quai de Bercy.;rue de Bercy.;;;;;Devenue rue de Thorins (supprimée) dans les entrepots de Bercy.;;;;;;;;;
;3254;allée;du;Onze Novembre;ALLEE DU ONZE NOVEMBRE;allée du Onze Novembre;;;;;;;;;;;;;;;;Supprimé. en 1943. Commençait av. Germaine Rolland (Supprimé.), finissait allée des Peupliers (Supprimé.).;;;;;;;;;
;3260;pont;aux;Oiseaux;PONT AUX OISEAUX;pont aux Oiseaux;;;;;;;;;;;;;;;;Remplacé par le pont au Change.;;;;;;;;;
;3270;rue;de l';Observatoire;RUE DE L'OBSERVATOIRE;rue de l'Observatoire;;;;;;;;;;;;;;;;Actuellement rue du Faubourg Saint-Jacques.;;;;;;;;;
;3278;rue;des;Oblayeurs;RUE DES OBLAYEURS;rue des Oblayeurs;;;;;;;;;;;;;;;;Ou Oblayers ou encore Obléeurs. Voir : Oblayers (rue des).;;;;;;;;;
;3122;rue;;Palée;RUE PALEE;rue Palée;;;;;;;;;;;;;;;;Voir : Maure (rue du).;;;;;;;;;
;3665;ruelle;des;Moulins;RUELLE DES MOULINS;ruelle des Moulins;;;;;;;;;;;;;;;;Supprimé. Elle allait de la rue de la Pelleterie à la rivière, au droit des moulins du Gord ou à l'évêque de Paris.;;;;;;;;;
;3666;rue;des;Moulins;RUE DES MOULINS;rue des Moulins;12e;;1868-08-10;;Picpus;;;;;;;;;;;Dénommée rue Lamblardie par décret impérial du 10 août 1868.;;;;;;;;;
;3422;rue;;Neuve Poterne;RUE NEUVE POTERNE;rue Neuve Poterne;;;;;;;;;;;;;;;;Voir : Chaume (rue du).;;;;;;;;;
;3445;rue;;Neuve du Pont Saint-Michel;RUE NEUVE DU PONT SAINT-MICHEL;rue Neuve du Pont Saint-Michel;;;;;;;;;;;;;;;;Actuellement partie de la rue de la Harpe.;;;;;;;;;
;3522;rue;;Neuve de Bellechasse;RUE NEUVE DE BELLECHASSE;rue Neuve de Bellechasse;;;;;;;;;;;;;;;;Actuellement partie de la rue de Bellechasse.;;;;;;;;;
;3523;rue;;Neuve de Babylone;RUE NEUVE DE BABYLONE;rue Neuve de Babylone;;;;;;;;;;;;;;;;Actuellement partie de la rue d'Estrées.;;;;;;;;;
;3549;rue;;Neuve;RUE NEUVE;rue Neuve;;;;;;;;;;;;;;;;Actuellement rue du Petit Pont.;;;;;;;;;
;3550;porte;;Neuve;PORTE NEUVE;porte Neuve;;;;;;;;;;;;;;;;Elle était située quai des Tuileries, près la tour de Bois (enceinte de Charles V).;;;;;;;;;
;3560;ruelle;des;Neuf Arpents;RUELLE DES NEUF ARPENTS;ruelle des Neuf Arpents;;;;;;;;;;;;;;;;Actuellement partie de la rue du Chemin Vert.;;;;;;;;;
;3570;port;de;Nesle;PORT DE NESLE;port de Nesle;;;;;;;;;;;;;;;;Actuellement quai Malaquais.;;;;;;;;;
19;3578;rue;de la;Nativité;RUE DE LA NATIVITE;rue de la Nativité;12e;1867-02-26;1885-12-03;;Bercy;;;;;;;;;;;Dénommée rue Proudhon par arrêté préfectoral du 10 novembre 1885 approuvé par décret du 3 décembre 1885.;Arrêté du 26 février 1867. Précédemment rue du Commerce.;;;;;;;;
;3598;passage;;Napoléon;PASSAGE NAPOLEON;passage Napoléon;;;;;;;;;;;;;;;;Actuellement rue Borromée.;;;;;;;;;
;3632;ruelle;du;Mûrier;RUELLE DU MURIER;ruelle du Mûrier;;;;;;;;;;;;;;;;Supprimé. Elle aboutissait rue de la Mortellerie (rue de l'Hôtel de Ville).;;;;;;;;;
;3647;cul-de-sac;de la;Muette;CUL-DE-SAC DE LA MUETTE;cul-de-sac de la Muette;;;;;;;;;;;;;;;;Actuellement impasse Delaunay.;;;;;;;;;
