landmarkId,landmarkType,nomOff,lang,timeType,timeStamp,timePrec,timeCal,statement
http://www.wikidata.org/entity/Q19945243,thoroughfare,rue Marie-Georges Picquart,fr,start,2013-07-10T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q19945243-cd524a34-45fe-810c-41e8-e19988738edf
http://www.wikidata.org/entity/Q19945243,thoroughfare,rue Marie-Georges Picquart,fr,end,2016-02-16T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q19945243-cd524a34-45fe-810c-41e8-e19988738edf
http://www.wikidata.org/entity/Q88867887,thoroughfare,rue Marie-Hélène Lefaucheux,fr,start,2013-10-15T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q88867887-F8E2684E-BD90-46F8-BEDC-3A99CC6E2927
http://www.wikidata.org/entity/Q3449059,thoroughfare,rue Marie Laurencin,fr,start,1987-12-28T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449059-8948E40E-299B-41F3-BA87-48BD538783EC
http://www.wikidata.org/entity/Q3449061,thoroughfare,rue Marie-Louise Dubreil-Jacotin,fr,start,2008-01-30T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449061-539EA727-D42E-4F89-87FF-F480F96BFC8B
http://www.wikidata.org/entity/Q3449062,thoroughfare,rue Marie Pape-Carpantier,fr,start,1994-01-14T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449062-A9A59B3E-FD73-4272-B053-452A91F50F50
http://www.wikidata.org/entity/Q55599455,thoroughfare,rue Marie Skobtsov,fr,start,2013-11-13T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q55599455-D52B874F-6210-43B3-96E1-50E1A67BA7A4
http://www.wikidata.org/entity/Q3449065,thoroughfare,rue Marie Stuart,fr,start,1809-07-25T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449065-AB9C7502-64D3-4762-8F3B-8F3CDF49A026
http://www.wikidata.org/entity/Q3451180,thoroughfare,rue Marietta Alboni,fr,start,2021-12-17T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3451180-63b84876-411d-2420-046e-44309473d2a8
http://www.wikidata.org/entity/Q3449067,thoroughfare,rue Marietta Martin,fr,start,1955-05-02T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449067-1ABFE607-8AE8-43E0-AD6E-4A5DFC51824E
