houseNumberId,houseNumberLabel,houseNumberGeomWKT
https://www.openstreetmap.org/node/10172222980,125,POINT(2.328246 48.895906)
https://www.openstreetmap.org/node/10172222981,126,POINT(2.328421 48.895455)
https://www.openstreetmap.org/node/10172222982,102,POINT(2.327981 48.894092)
https://www.openstreetmap.org/node/10172473672,11,POINT(2.286295 48.877865)
https://www.openstreetmap.org/node/10177950418,35,POINT(2.385050 48.897543)
https://www.openstreetmap.org/node/10187188718,39,POINT(2.343002 48.883544)
https://www.openstreetmap.org/node/10187861705,91,POINT(2.300368 48.881476)
https://www.openstreetmap.org/node/10198323220,37,POINT(2.407807 48.857995)
https://www.openstreetmap.org/node/10198355019,37,POINT(2.407764 48.858016)
https://www.openstreetmap.org/node/10201956416,233,POINT(2.287684 48.879552)
https://www.openstreetmap.org/node/10201965617,173,POINT(2.293291 48.882580)
https://www.openstreetmap.org/node/10202141460,55,POINT(2.314600 48.885637)
https://www.openstreetmap.org/node/10202141461,63,POINT(2.314365 48.885861)
https://www.openstreetmap.org/node/10202141462,40,POINT(2.315639 48.884813)
https://www.openstreetmap.org/node/10202141463,19,POINT(2.289984 48.880728)
https://www.openstreetmap.org/node/10202204389,88,POINT(2.287448 48.880376)
https://www.openstreetmap.org/node/10202302711,26,POINT(2.288529 48.878191)
https://www.openstreetmap.org/node/10202366536,2,POINT(2.292192 48.877221)
https://www.openstreetmap.org/node/10202366537,2 bis,POINT(2.292144 48.877296)
https://www.openstreetmap.org/node/10202603480,76,POINT(2.284864 48.877363)
https://www.openstreetmap.org/node/10202603483,14,POINT(2.291879 48.875132)
https://www.openstreetmap.org/node/10206857292,39,POINT(2.297126 48.877028)
https://www.openstreetmap.org/node/10207412740,134,POINT(2.313415 48.886781)
https://www.openstreetmap.org/node/10207412741,120,POINT(2.312592 48.886200)
https://www.openstreetmap.org/node/10207412742,118,POINT(2.312531 48.886158)
https://www.openstreetmap.org/node/10207412743,25,POINT(2.302890 48.881837)
https://www.openstreetmap.org/node/10207412744,23,POINT(2.302725 48.881792)
https://www.openstreetmap.org/node/10207412745,21,POINT(2.302558 48.881747)
https://www.openstreetmap.org/node/10207412746,145 bis,POINT(2.314247 48.887552)
https://www.openstreetmap.org/node/10207511666,25,POINT(2.314171 48.884188)
https://www.openstreetmap.org/node/10207511667,21,POINT(2.313376 48.883721)
https://www.openstreetmap.org/node/10208046743,61,POINT(2.313416 48.883859)
https://www.openstreetmap.org/node/10208089684,99,POINT(2.301637 48.881967)
https://www.openstreetmap.org/node/10227903859,108,POINT(2.404242 48.871368)
https://www.openstreetmap.org/node/10227908795,79,POINT(2.390607 48.873461)
https://www.openstreetmap.org/node/10228296849,356,POINT(2.386418 48.873971)
https://www.openstreetmap.org/node/10228296850,284,POINT(2.393844 48.870609)
https://www.openstreetmap.org/node/10228296851,250,POINT(2.395659 48.868702)
https://www.openstreetmap.org/node/10228296852,92,POINT(2.405496 48.855193)
https://www.openstreetmap.org/node/10228296853,60,POINT(2.406272 48.852539)
https://www.openstreetmap.org/node/10228296854,58,POINT(2.406294 48.852375)
https://www.openstreetmap.org/node/10228296856,43,POINT(2.406224 48.850844)
https://www.openstreetmap.org/node/10228296857,42,POINT(2.406438 48.851287)
https://www.openstreetmap.org/node/10233469368,1,POINT(2.378711 48.889266)
https://www.openstreetmap.org/node/10234416806,8,POINT(2.378849 48.889954)
https://www.openstreetmap.org/node/1023556462,37,POINT(2.408620 48.856249)
https://www.openstreetmap.org/node/10236381329,7,POINT(2.390272 48.868239)
https://www.openstreetmap.org/node/10238146115,33,POINT(2.406223 48.850092)
https://www.openstreetmap.org/node/10241134127,211,POINT(2.391018 48.890354)
https://www.openstreetmap.org/node/10245433590,20,POINT(2.346411 48.887098)
https://www.openstreetmap.org/node/10245452667,17,POINT(2.345073 48.887278)
https://www.openstreetmap.org/node/10245460221,2 bis,POINT(2.346855 48.887480)
https://www.openstreetmap.org/node/10245460222,13,POINT(2.346132 48.887373)
https://www.openstreetmap.org/node/10245460223,11,POINT(2.346280 48.887381)
https://www.openstreetmap.org/node/10245460224,9,POINT(2.346402 48.887385)
https://www.openstreetmap.org/node/10245460225,19,POINT(2.345777 48.887358)
https://www.openstreetmap.org/node/10245469061,8,POINT(2.346190 48.887833)
https://www.openstreetmap.org/node/10246242746,12 bis,POINT(2.322892 48.894639)
https://www.openstreetmap.org/node/10246296521,25,POINT(2.323764 48.895027)
https://www.openstreetmap.org/node/10246597295,41,POINT(2.322017 48.886550)
https://www.openstreetmap.org/node/10246597296,39,POINT(2.322112 48.886494)
https://www.openstreetmap.org/node/10246597297,37,POINT(2.322199 48.886443)
https://www.openstreetmap.org/node/10246597298,35 bis,POINT(2.322266 48.886403)
https://www.openstreetmap.org/node/10246597299,43,POINT(2.321875 48.886583)
https://www.openstreetmap.org/node/10247560985,67,POINT(2.321335 48.891039)
https://www.openstreetmap.org/node/10247574644,2,POINT(2.323487 48.884316)
https://www.openstreetmap.org/node/10249395632,141 bis,POINT(2.402299 48.869489)
https://www.openstreetmap.org/node/10249714146,124,POINT(2.377745 48.871660)
https://www.openstreetmap.org/node/10250404309,1,POINT(2.397241 48.863722)
https://www.openstreetmap.org/node/10250866307,139,POINT(2.405777 48.861967)
https://www.openstreetmap.org/node/10250866308,135,POINT(2.405612 48.861808)
https://www.openstreetmap.org/node/10250873579,116,POINT(2.403741 48.859900)
https://www.openstreetmap.org/node/10250873580,110,POINT(2.403504 48.859766)
https://www.openstreetmap.org/node/10250873581,116,POINT(2.403850 48.859952)
https://www.openstreetmap.org/node/10250958453,55 bis,POINT(2.398403 48.857267)
https://www.openstreetmap.org/node/10250958454,48,POINT(2.398606 48.857126)
https://www.openstreetmap.org/node/10250958455,52,POINT(2.398781 48.857188)
https://www.openstreetmap.org/node/10250958456,46,POINT(2.398540 48.857096)
https://www.openstreetmap.org/node/10250958457,57,POINT(2.398546 48.857314)
https://www.openstreetmap.org/node/10251068485,3,POINT(2.297512 48.879605)
https://www.openstreetmap.org/node/10251428874,106,POINT(2.301918 48.879060)
https://www.openstreetmap.org/node/10251579491,117,POINT(2.403501 48.859991)
https://www.openstreetmap.org/node/10251595032,2 bis,POINT(2.385515 48.867257)
https://www.openstreetmap.org/node/10251631993,42,POINT(2.403876 48.864600)
https://www.openstreetmap.org/node/10251632008,28 ter,POINT(2.402633 48.864650)
https://www.openstreetmap.org/node/10251684309,26 bis,POINT(2.402193 48.864668)
https://www.openstreetmap.org/node/10251684310,20,POINT(2.401606 48.864691)
https://www.openstreetmap.org/node/10251684311,22 bis,POINT(2.401968 48.864677)
https://www.openstreetmap.org/node/10251745569,54,POINT(2.405631 48.864535)
https://www.openstreetmap.org/node/10251745570,50,POINT(2.405301 48.864548)
https://www.openstreetmap.org/node/10261386509,21,POINT(2.396046 48.856849)
https://www.openstreetmap.org/node/10269648393,61,POINT(2.373842 48.881884)
https://www.openstreetmap.org/node/10271111772,19,POINT(2.353435 48.887786)
https://www.openstreetmap.org/node/10271111773,23,POINT(2.353463 48.887966)
https://www.openstreetmap.org/node/10300440609,24,POINT(2.322576 48.895199)
https://www.openstreetmap.org/node/10300810310,17,POINT(2.340291 48.884753)
https://www.openstreetmap.org/node/10300810311,53,POINT(2.341839 48.887051)
https://www.openstreetmap.org/node/10300810312,1 bis,POINT(2.342483 48.884201)
https://www.openstreetmap.org/node/10300810313,1 bis,POINT(2.342643 48.884243)
https://www.openstreetmap.org/node/10314743461,92,POINT(2.317824 48.882972)
https://www.openstreetmap.org/node/10314743462,105,POINT(2.317892 48.882883)
https://www.openstreetmap.org/node/10314743463,99,POINT(2.318272 48.882974)
https://www.openstreetmap.org/node/10314743464,88,POINT(2.318108 48.883055)
